READ SERR 1
@norm_1ph_per_keVcm2s_wabs-0.pco
!
0.126087397 7.835836E-5 4.25165147E-3
0.126244202 7.84558142E-5 4.32995334E-3
0.126401216 7.85533921E-5 4.40943334E-3
0.126558423 7.86510864E-5 4.49010124E-3
0.126715824 7.87489043E-5 4.57196822E-3
0.126873419 7.8846846E-5 4.65504453E-3
0.127031207 7.89449041E-5 4.73934505E-3
0.127189189 7.90430931E-5 4.82488982E-3
0.12734738 7.91413986E-5 4.91168723E-3
0.127505764 7.92398205E-5 4.99974936E-3
0.127664343 7.93383733E-5 5.08908834E-3
0.127823114 7.94370499E-5 5.17971627E-3
0.127982095 7.95358428E-5 5.27165085E-3
0.128141254 7.96347595E-5 5.36490697E-3
0.128300622 7.97337998E-5 5.45949209E-3
0.128460199 7.98329638E-5 5.55541925E-3
0.128619954 7.99322515E-5 5.65270986E-3
0.128779918 8.00316629E-5 5.75136673E-3
0.128940091 8.0131198E-5 5.85140986E-3
0.129100442 8.02308568E-5 5.95285743E-3
0.129261017 8.03306393E-5 6.0557127E-3
0.129421771 8.04305455E-5 6.15999755E-3
0.129582733 8.05305826E-5 6.26572268E-3
0.129743889 8.06307362E-5 6.37289975E-3
0.129905254 8.07310134E-5 6.48155296E-3
0.130066812 8.08314217E-5 6.59168418E-3
0.130228579 8.09319463E-5 6.70330692E-3
0.13039054 8.10326019E-5 6.81644306E-3
0.130552709 8.11333812E-5 6.9311047E-3
0.130715072 8.12342914E-5 7.04730535E-3
0.130877644 8.13353181E-5 7.16505945E-3
0.131040424 8.14364757E-5 7.28437817E-3
0.131203398 8.15377571E-5 7.40527827E-3
0.131366566 8.16391621E-5 7.52776815E-3
0.131529957 8.17406981E-5 7.65186828E-3
0.131693542 8.18423578E-5 7.77759915E-3
0.131857321 8.19441484E-5 7.90496543E-3
0.132021308 8.20460627E-5 8.03398155E-3
0.132185504 8.21481008E-5 8.16466752E-3
0.132349908 8.22502698E-5 8.29703547E-3
0.132514507 8.23525625E-5 8.43109936E-3
0.132679313 8.24549861E-5 8.56687874E-3
0.132844329 8.25575335E-5 8.70437548E-3
0.133009538 8.26602118E-5 8.84361193E-3
0.133174971 8.27630138E-5 8.9846123E-3
0.133340597 8.28659468E-5 9.1273766E-3
0.133506432 8.29690034E-5 9.2719188E-3
0.133672476 8.3072191E-5 9.41826031E-3
0.133838728 8.31755096E-5 9.5664151E-3
0.134005174 8.32789519E-5 9.71639995E-3
0.134171844 8.33825252E-5 9.86823067E-3
0.134338707 8.34862294E-5 1.00219194E-2
0.134505779 8.35900646E-5 1.01774782E-2
0.134673059 8.36940235E-5 1.03349136E-2
0.134840563 8.37981133E-5 1.04942545E-2
0.135008261 8.39023342E-5 1.06555158E-2
0.135176167 8.40066787E-5 1.08187115E-2
0.135344282 8.41111614E-5 1.09838536E-2
0.135512605 8.42157679E-5 1.11509506E-2
0.135681152 8.43205053E-5 1.13200191E-2
0.135849893 8.44253736E-5 1.14910882E-2
0.136018857 8.4530373E-5 1.16641596E-2
0.136188015 8.46355033E-5 1.18392464E-2
0.136357397 8.47407646E-5 1.20163765E-2
0.136526972 8.48461568E-5 1.2195549E-2
0.136696771 8.495168E-5 1.23767778E-2
0.136866793 8.50573342E-5 1.25601031E-2
0.137037009 8.51631194E-5 1.27455201E-2
0.137207434 8.52690355E-5 1.29330447E-2
0.137378082 8.53750826E-5 1.31226908E-2
0.137548938 8.54812606E-5 1.33144753E-2
0.137720004 8.55875769E-5 1.35084176E-2
0.137891293 8.56940242E-5 1.37045188E-2
0.13806279 8.58005951E-5 1.39028141E-2
0.138234496 8.59073116E-5 1.41033055E-2
0.138406411 8.60141517E-5 1.43059976E-2
0.138578549 8.61211229E-5 1.45109184E-2
0.138750896 8.62282322E-5 1.47180939E-2
0.138923466 8.63354726E-5 1.49275344E-2
0.139096245 8.64428512E-5 1.51392426E-2
0.139269233 8.65503607E-5 1.53532149E-2
0.139442444 8.66580012E-5 1.55694839E-2
0.139615864 8.676578E-5 1.57880932E-2
0.139789507 8.68736897E-5 1.60090365E-2
0.139963359 8.69817304E-5 1.62323155E-2
0.140137434 8.70899094E-5 1.64579488E-2
0.140311718 8.71982265E-5 1.66859608E-2
0.140486225 8.73066747E-5 1.69163626E-2
0.140660942 8.74152538E-5 1.7149169E-2
0.140835881 8.75239712E-5 1.73843894E-2
0.141011044 8.76328268E-5 1.7622035E-2
0.141186416 8.77418133E-5 1.78621337E-2
0.141362011 8.78509381E-5 1.81047022E-2
0.141537815 8.79602012E-5 1.83497369E-2
0.141713858 8.80695952E-5 1.85972564E-2
0.141890094 8.81791275E-5 1.8847283E-2
0.142066568 8.82887907E-5 1.90998297E-2
0.142243251 8.83985995E-5 1.93549208E-2
0.142420158 8.85085392E-5 1.96125414E-2
